Country,Happiness Rank,happiness_score,GDP per Capita,Health (Life Expectancy),Freedom,Trust (Government Corruption),Year,code
Switzerland,1,7.587000000000001,1.3965100000000001,0.9414299999999999,0.66557,0.41978000000000004,2015,CHE
Iceland,2,7.561,1.3023200000000001,0.94784,0.6287699999999999,0.14145,2015,ISL
Denmark,3,7.527,1.32548,0.87464,0.6493800000000001,0.48357,2015,DNK
Norway,4,7.522,1.459,0.88521,0.66973,0.36503,2015,NOR
Canada,5,7.4270000000000005,1.32629,0.9056299999999999,0.63297,0.32957,2015,CAN
Finland,6,7.406000000000001,1.29025,0.8891100000000001,0.64169,0.41372,2015,FIN
Netherlands,7,7.377999999999999,1.32944,0.89284,0.6157600000000001,0.31814000000000003,2015,NLD
Sweden,8,7.364,1.33171,0.9108700000000001,0.6598,0.43843999999999994,2015,SWE
New Zealand,9,7.2860000000000005,1.2501799999999998,0.9083700000000001,0.6393800000000001,0.42922,2015,NZL
Australia,10,7.284,1.33358,0.93156,0.6512399999999999,0.35636999999999996,2015,AUS
Israel,11,7.278,1.2285700000000002,0.9138700000000001,0.41318999999999995,0.07785,2015,ISR
Costa Rica,12,7.226,0.95578,0.8602700000000001,0.63376,0.10583,2015,CRI
Austria,13,7.2,1.33723,0.8904200000000001,0.62433,0.18675999999999998,2015,AUT
Mexico,14,7.187,1.02054,0.8144399999999999,0.48181,0.21311999999999998,2015,MEX
United States,15,7.119,1.3945100000000001,0.86179,0.54604,0.1589,2015,USA
Brazil,16,6.983,0.98124,0.69702,0.49049,0.17521,2015,BRA
Luxembourg,17,6.946000000000001,1.5639100000000001,0.91894,0.61583,0.37798000000000004,2015,LUX
Ireland,18,6.94,1.33596,0.89533,0.6177699999999999,0.28703,2015,IRL
Belgium,19,6.937,1.30782,0.8966700000000001,0.5845,0.2254,2015,BEL
United Arab Emirates,20,6.901,1.42727,0.80925,0.64157,0.38583,2015,UAE
United Kingdom,21,6.867000000000001,1.26637,0.90943,0.59625,0.32066999999999996,2015,GBR
Oman,22,6.853,1.36011,0.76276,0.63274,0.32524000000000003,2015,OMN
Venezuela,23,6.81,1.04424,0.7205199999999999,0.42908,0.11069000000000001,2015,VEN
Singapore,24,6.797999999999999,1.52186,1.02525,0.54252,0.4921,2015,SGP
Panama,25,6.7860000000000005,1.0635299999999999,0.79661,0.5421,0.0927,2015,PAN
Germany,26,6.75,1.32792,0.89186,0.6147699999999999,0.21843,2015,DEU
Chile,27,6.67,1.10715,0.85857,0.44132,0.12869,2015,CHL
Qatar,28,6.611000000000001,1.69042,0.79733,0.6404,0.52208,2015,QAT
France,29,6.575,1.27778,0.9457899999999999,0.55011,0.20646,2015,FRA
Argentina,30,6.574,1.05351,0.78723,0.44974,0.08484,2015,ARG
Czech Republic,31,6.505,1.17898,0.84483,0.46363999999999994,0.02652,2015,CZE
Uruguay,32,6.485,1.06166,0.8116,0.6036199999999999,0.24558000000000002,2015,URY
Colombia,33,6.477,0.91861,0.69077,0.53466,0.0512,2015,COL
Thailand,34,6.455,0.9669,0.7385,0.5566399999999999,0.031869999999999996,2015,THA
