Country,Happiness Rank,Happiness Score,GDP per Capita, Health (Life Expectancy),Freedom,Trust (Government Corruption),Year
Denmark,1,7.526,1.44178,0.79504,0.57941,0.44453,2016
Switzerland,2,7.509,1.52733,0.86303,0.58557,0.41203,2016
Iceland,3,7.501,1.42666,0.86733,0.56624,0.14975,2016
Norway,4,7.498,1.57744,0.79579,0.59609,0.35776,2016
Finland,5,7.413,1.40598,0.81091,0.57104,0.41004,2016
Canada,6,7.404,1.44015,0.8276,0.5737,0.31329,2016
Netherlands,7,7.339,1.46468,0.81231,0.55211,0.29927,2016
New Zealand,8,7.334,1.36066,0.83096,0.58147,0.41904,2016
Australia,9,7.313,1.44443,0.8512,0.56837,0.32331,2016
Sweden,10,7.291,1.45181,0.83121,0.58218,0.40867,2016
Israel,11,7.267,1.33766,0.84917,0.36432,0.08728,2016
Austria,12,7.119,1.45038,0.80565,0.54355,0.21348,2016
United States,13,7.104,1.50796,0.779,0.48163,0.14868,2016
Costa Rica,14,7.087,1.06879,0.76146,0.55225,0.10547,2016
Puerto Rico,15,7.039,1.35943,0.77758,0.46823,0.12275,2016
Germany,16,6.994,1.44787,0.81487,0.53466,0.28551,2016
Brazil,17,6.952,1.08754,0.61415,0.40425,0.14166,2016
Belgium,18,6.929,1.42539,0.81959,0.51354,0.26248,2016
Ireland,19,6.907,1.48341,0.81455,0.54008,0.29754,2016
Luxembourg,20,6.871,1.69752,0.84542,0.5487,0.35329,2016
Mexico,21,6.778,1.11508,0.71143,0.37709,0.18355,2016
Singapore,22,6.739,1.64555,0.94719,0.4877,0.46987,2016
United Kingdom,23,6.725,1.40283,0.80991,0.50036,0.27399,2016
Chile,24,6.705,1.2167,0.81883,0.37789,0.11451,2016
Panama,25,6.701,1.18306,0.70835,0.48927,0.08423,2016
Argentina,26,6.65,1.15137,0.69711,0.42284,0.07296,2016
Czech Republic,27,6.596,1.30915,0.76376,0.41418,0.03986,2016
United Arab Emirates,28,6.573,1.57352,0.72993,0.56215,0.35561,2016
Uruguay,29,6.545,1.18157,0.72183,0.54388,0.21394,2016
Malta,30,6.488,1.30782,0.80315,0.54994,0.17554,2016
Colombia,31,6.481,1.03032,0.59659,0.44735,0.05399,2016
France,32,6.478,1.39488,0.83795,0.46562,0.17808,2016
Thailand,33,6.474,1.0893,0.64915,0.49553,0.02833,2016
Saudi Arabia,34,6.379,1.48953,0.59267,0.37904,0.30008,2016
Taiwan,34,6.379,1.39729,0.79565,0.32377,0.0663,2016
Qatar,36,6.375,1.82427,0.71723,0.56679,0.48049,2016
Spain,37,6.361,1.34253,0.87896,0.37545,0.06137,2016
Algeria,38,6.355,1.05266,0.61804,0.21006,0.16157,2016
Guatemala,39,6.324,0.83454,0.54039,0.50379,0.08701,2016
Suriname,40,6.269,1.09686,0.50933,0.52234,0.12692,2016
Kuwait,41,6.239,1.61714,0.63569,0.43166,0.23669,2016
Bahrain,42,6.218,1.44024,0.65696,0.47375,0.25772,2016
Trinidad and Tobago,43,6.168,1.32572,0.52608,0.48453,0.01241,2016
Venezuela,44,6.084,1.13367,0.61904,0.19847,0.08304,2016
Slovakia,45,6.078,1.27973,0.70367,0.23391,0.02947,2016
El Salvador,46,6.068,0.8737,0.596,0.37269,0.10613,2016
Malaysia,47,6.005,1.25142,0.62366,0.39031,0.09081,2016
Nicaragua,48,5.992,0.69384,0.65213,0.46582,0.16292,2016
Uzbekistan,49,5.987,0.73591,0.50163,0.60848,0.28333,2016
Italy,50,5.977,1.35495,0.85102,0.18827,0.02556,2016
Ecuador,51,5.976,0.97306,0.68613,0.4027,0.18037,2016
Belize,52,5.956,0.87616,0.45569,0.51231,0.10771,2016
Japan,53,5.921,1.38007,0.91491,0.46761,0.18985,2016
Kazakhstan,54,5.919,1.22943,0.57386,0.4052,0.11132,2016
Moldova,55,5.897,0.69177,0.52309,0.25202,0.01903,2016
Russia,56,5.856,1.23228,0.58991,0.32682,0.03586,2016
Poland,57,5.835,1.24585,0.69058,0.4519,0.055,2016
South Korea,57,5.835,1.35948,0.88645,0.25168,0.07716,2016
Bolivia,59,5.822,0.79422,0.4697,0.50961,0.07746,2016
Lithuania,60,5.813,1.2692,0.64674,0.18929,0.0182,2016
Belarus,61,5.802,1.13062,0.63104,0.29091,0.17457,2016
North Cyprus,62,5.771,1.31141,0.84142,0.43596,0.16578,2016
Slovenia,63,5.768,1.29947,0.79151,0.53164,0.03635,2016
Peru,64,5.743,0.99602,0.62994,0.37502,0.05292,2016
Turkmenistan,65,5.658,1.08017,0.44006,0.37408,0.28467,2016
Mauritius,66,5.648,1.14372,0.66189,0.46145,0.05203,2016
Libya,67,5.615,1.06688,0.52304,0.40672,0.10339,2016
Latvia,68,5.56,1.21788,0.63952,0.27996,0.0889,2016
Cyprus,69,5.546,1.31857,0.8488,0.29507,0.05228,2016
Paraguay,70,5.538,0.89373,0.58295,0.46235,0.07396,2016
Romania,71,5.528,1.1697,0.67602,0.36712,0.00679,2016
Estonia,72,5.517,1.27964,0.68098,0.41511,0.18519,2016
Jamaica,73,5.51,0.89333,0.59469,0.43597,0.04294,2016
Croatia,74,5.488,1.18649,0.70524,0.23907,0.04002,2016
Hong Kong,75,5.458,1.5107,0.95277,0.48079,0.31647,2016
Somalia,76,5.44,0,0.11466,0.56778,0.3118,2016
Kosovo,77,5.401,0.90145,0.54,0.14396,0.06547,2016
Turkey,78,5.389,1.16492,0.64718,0.23889,0.12348,2016
Indonesia,79,5.314,0.95104,0.49374,0.39237,0.00322,2016
Jordan,80,5.303,0.99673,0.60712,0.36023,0.13297,2016
Azerbaijan,81,5.291,1.12373,0.54504,0.35327,0.17914,2016
Philippines,82,5.279,0.81217,0.47036,0.54854,0.11757,2016
China,83,5.245,1.0278,0.73561,0.44012,0.02745,2016
Bhutan,84,5.196,0.8527,0.49759,0.46074,0.1616,2016
Kyrgyzstan,85,5.185,0.56044,0.55449,0.40212,0.04762,2016
Serbia,86,5.177,1.03437,0.6458,0.15718,0.04339,2016
Bosnia and Herzegovina,87,5.163,0.93383,0.70766,0.09511,0,2016
Montenegro,88,5.161,1.07838,0.63533,0.15111,0.12721,2016
Dominican Republic,89,5.155,1.02787,0.57669,0.52259,0.12372,2016
Morocco,90,5.151,0.84058,0.59471,0.25646,0.08404,2016
Hungary,91,5.145,1.24142,0.67608,0.1977,0.04472,2016
Pakistan,92,5.132,0.68816,0.40306,0.14622,0.1388,2016
Lebanon,93,5.129,1.12268,0.76171,0.26228,0.03061,2016
Portugal,94,5.123,1.27607,0.79363,0.44727,0.01521,2016
Macedonia,95,5.121,1.0193,0.64738,0.27668,0.07047,2016
Vietnam,96,5.061,0.74037,0.66157,0.55954,0.11556,2016
