country,happiness_rank,happiness_score,gdp_per_capita,health_(life_expectancy),freedom,trust_(government_corruption),code
Norway,1,7.537000179,1.616463184,0.796666503,0.635422587,0.315963835,NOR
Denmark,2,7.521999836,1.4823830130000002,0.792565525,0.6260067220000001,0.400770068,DNK
Iceland,3,7.504000187000001,1.48063302,0.8335521220000001,0.627162635,0.153526559,ISL
Switzerland,4,7.493999958,1.5649795530000001,0.858131289,0.620070577,0.367007285,CHE
Finland,5,7.468999863,1.443571925,0.80915767,0.6179508570000001,0.38261154299999994,FIN
Netherlands,6,7.376999855,1.503944635,0.810696125,0.585384488,0.282661825,NLD
Canada,7,7.315999985,1.479204416,0.834557652,0.611100912,0.287371516,CAN
New Zealand,8,7.31400013,1.405706048,0.8167597059999999,0.61406213,0.382816702,NZL
Sweden,9,7.28399992,1.494387269,0.830875158,0.612924099,0.384398729,SWE
Australia,10,7.28399992,1.484414935,0.843886793,0.6016073820000001,0.30118373,AUS
Israel,11,7.212999821,1.375382423,0.838404,0.405988604,0.0852421,ISR
Costa Rica,12,7.078999996,1.109706283,0.759509265,0.58013165,0.10010658900000001,CRI
Austria,13,7.006000042,1.4870972630000001,0.8153284190000001,0.56776619,0.221060365,AUT
United States,14,6.993000031,1.546259284,0.7742866279999999,0.5057405229999999,0.135638788,USA
Ireland,15,6.977000237,1.535706639,0.809782624,0.573110342,0.298388153,IRL
Germany,16,6.951000214,1.4879233840000001,0.798950732,0.562511384,0.276731938,DEU
Belgium,17,6.890999794,1.463780761,0.8180918690000001,0.539770722,0.251343131,BEL
Luxembourg,18,6.862999916000001,1.7419435980000002,0.845089495,0.596627891,0.318834424,LUX
United Kingdom,19,6.714000225,1.44163394,0.8053359390000001,0.508190036,0.265428066,GBR
Chile,20,6.65199995,1.25278461,0.819479704,0.37689527899999997,0.082287982,CHL
United Arab Emirates,21,6.647999763,1.626343369,0.7267982359999999,0.60834527,0.324489564,ARE
Brazil,22,6.635000229,1.10735321,0.616552353,0.437453747,0.111092761,BRA
Czech Republic,23,6.609000206,1.352682352,0.7544440029999999,0.49094617399999996,0.036872927,CZE
Argentina,24,6.598999977,1.1852954629999999,0.6951370840000001,0.494519204,0.059739888,ARG
Mexico,25,6.578000069,1.153183818,0.709978998,0.412730008,0.132774115,MEX
Singapore,26,6.5720000270000005,1.69227767,0.949492395,0.549840569,0.464307785,SGP
Malta,27,6.52699995,1.343279839,0.8219442370000001,0.588767052,0.153066069,MLT
Uruguay,28,6.453999996,1.217559695,0.7192168240000001,0.5793922539999999,0.178061873,URY
Guatemala,29,6.453999996,0.8720019459999999,0.54023999,0.531310618,0.077223279,GTM
Panama,30,6.452000141,1.233748436,0.706156135,0.550026834,0.070983924,PAN
France,31,6.441999912000001,1.430923462,0.844465852,0.470222116,0.172502428,FRA
Thailand,32,6.423999786,1.127868772,0.647239029,0.580200732,0.031612735,THA
Taiwan Province of China,33,6.421999931,1.4336265330000002,0.7939842340000001,0.361466587,0.063829236,
