happiness_rank,country,happiness_score,gdp_per_capita,health_(life_expectancy),freedom,trust_(government_corruption),year,code
1,Finland,7.632000000000001,1.305,0.8740000000000001,0.6809999999999999,0.39299999999999996,2018,FIN
2,Norway,7.593999999999999,1.456,0.861,0.6859999999999999,0.34,2018,NOR
3,Denmark,7.555,1.351,0.868,0.6829999999999999,0.408,2018,DNK
4,Iceland,7.495,1.3430000000000002,0.914,0.677,0.138,2018,ISL
5,Switzerland,7.487,1.42,0.927,0.66,0.35700000000000004,2018,CHE
6,Netherlands,7.441,1.361,0.878,0.638,0.295,2018,
7,Canada,7.327999999999999,1.33,0.8959999999999999,0.653,0.29100000000000004,2018,CAN
8,New Zealand,7.324,1.268,0.8759999999999999,0.669,0.389,2018,NZL
9,Sweden,7.314,1.355,0.9129999999999999,0.659,0.38299999999999995,2018,SWE
10,Australia,7.272,1.34,0.91,0.647,0.302,2018,AUS
11,United Kingdom,7.19,1.244,0.888,0.46399999999999997,0.08199999999999999,2018,
12,Austria,7.138999999999999,1.341,0.8909999999999999,0.617,0.22399999999999998,2018,AUT
13,Costa Rica,7.072,1.01,0.8170000000000001,0.632,0.10099999999999999,2018,CRI
14,Ireland,6.977,1.4480000000000002,0.8759999999999999,0.614,0.306,2018,IRL
15,Germany,6.965,1.34,0.861,0.586,0.28,2018,DEU
16,Belgium,6.9270000000000005,1.324,0.894,0.583,0.24,2018,BEL
17,Luxembourg,6.91,1.5759999999999998,0.8959999999999999,0.632,0.321,2018,LUX
18,United States,6.886,1.3980000000000001,0.8190000000000001,0.547,0.133,2018,
19,Israel,6.814,1.301,0.883,0.5329999999999999,0.272,2018,ISR
20,United Arab Emirates,6.774,2.096,0.67,0.284,,2018,
21,Czech Republic,6.711,1.2329999999999999,0.8540000000000001,0.5429999999999999,0.034,2018,
22,Malta,6.627000000000001,1.27,0.884,0.645,0.142,2018,MLT
23,France,6.489,1.2930000000000001,0.9079999999999999,0.52,0.17600000000000002,2018,FRA
24,Mexico,6.4879999999999995,1.038,0.7609999999999999,0.479,0.095,2018,MEX
25,Chile,6.476,1.131,0.8079999999999999,0.431,0.061,2018,CHL
26,Taiwan,6.441,1.365,0.857,0.418,0.078,2018,
27,Panama,6.43,1.112,0.759,0.597,0.063,2018,PAN
28,Brazil,6.419,0.986,0.675,0.493,0.08800000000000001,2018,BRA
29,Argentina,6.388,1.073,0.7440000000000001,0.57,0.054000000000000006,2018,ARG
30,Guatemala,6.382000000000001,0.7809999999999999,0.608,0.604,0.071,2018,GTM
31,Uruguay,6.379,1.093,0.7709999999999999,0.625,0.155,2018,URY
32,Qatar,6.374,1.649,0.748,0.654,0.171,2018,QAT
33,Saudi Arabia,6.371,1.379,0.633,0.509,0.127,2018,SAU
34,Singapore,6.343,1.5290000000000001,1.008,0.631,0.457,2018,SGP
35,Malaysia,6.322,1.161,0.669,0.35600000000000004,0.059000000000000004,2018,MYS
36,Spain,6.31,1.251,0.965,0.449,0.07400000000000001,2018,ESP
37,Colombia,6.26,0.96,0.635,0.531,0.039,2018,COL
38,Trinidad &amp; Tobago,6.192,1.2229999999999999,0.564,0.575,0.019,2018,
39,Slovakia,6.172999999999999,1.21,0.7759999999999999,0.354,0.013999999999999999,2018,SVK
40,El Salvador,6.167000000000001,0.8059999999999999,0.639,0.461,0.08199999999999999,2018,SLV
41,Nicaragua,6.141,0.6679999999999999,0.7,0.527,0.128,2018,NIC
42,Poland,6.122999999999999,1.176,0.7809999999999999,0.546,0.064,2018,POL
43,Bahrain,6.105,1.338,0.698,0.594,0.12300000000000001,2018,BHR
44,Uzbekistan,6.096,0.7190000000000001,0.605,0.7240000000000001,0.259,2018,UZB
45,Kuwait,6.082999999999999,1.474,0.675,0.5539999999999999,0.106,2018,KWT
46,Thailand,6.072,1.016,0.7070000000000001,0.637,0.028999999999999998,2018,THA
47,Italy,6.0,1.264,0.946,0.281,0.027999999999999997,2018,ITA
48,Ecuador,5.973,0.889,0.736,0.556,0.12,2018,ECU
49,Belize,5.956,0.807,0.474,0.593,0.08900000000000001,2018,BLZ
50,Lithuania,5.952000000000001,1.197,0.716,0.35,0.006,2018,LTU
51,Slovenia,5.9479999999999995,1.219,0.856,0.633,0.051,2018,SVN
52,Romania,5.945,1.1159999999999999,0.726,0.528,0.001,2018,ROU
53,Latvia,5.933,1.148,0.6709999999999999,0.363,0.066,2018,LVA
54,Japan,5.915,1.294,0.988,0.5529999999999999,0.15,2018,JPN
55,Mauritius,5.891,1.09,0.684,0.584,0.05,2018,MUS
56,Jamaica,5.89,0.8190000000000001,0.693,0.575,0.031,2018,JAM
57,South Korea,5.875,1.266,0.955,0.244,0.051,2018,
58,Northern Cyprus,5.835,1.229,0.909,0.495,0.154,2018,
59,Russia,5.81,1.151,0.599,0.39899999999999997,0.025,2018,
60,Kazakhstan,5.79,1.143,0.631,0.45399999999999996,0.121,2018,KAZ
61,Cyprus,5.7620000000000005,1.229,0.909,0.423,0.035,2018,CYP
62,Bolivia,5.752000000000001,0.7509999999999999,0.508,0.606,0.054000000000000006,2018,
63,Estonia,5.739,1.2,0.737,0.5529999999999999,0.174,2018,EST
64,Paraguay,5.681,0.835,0.615,0.541,0.07400000000000001,2018,PRY
65,Peru,5.662999999999999,0.934,0.674,0.53,0.034,2018,PER
66,Kosovo,5.662000000000001,0.855,0.578,0.44799999999999995,0.023,2018,
67,Moldova,5.64,0.657,0.62,0.23199999999999998,0.0,2018,
68,Turkmenistan,5.636,1.016,0.517,0.41700000000000004,0.037000000000000005,2018,TKM
69,Hungary,5.62,1.171,0.732,0.259,0.022000000000000002,2018,HUN
70,Libya,5.566,0.985,0.5529999999999999,0.496,0.14800000000000002,2018,LBY
71,Philippines,5.524,0.775,0.513,0.643,0.105,2018,
72,Honduras,5.504,0.62,0.622,0.45899999999999996,0.07400000000000001,2018,HND
73,Belarus,5.483,1.0390000000000001,0.7,0.307,0.154,2018,BLR
74,Turkey,5.483,1.148,0.6859999999999999,0.324,0.109,2018,TUR
75,Pakistan,5.472,0.652,0.424,0.33399999999999996,0.113,2018,PAK
76,Hong Kong,5.43,1.405,1.03,0.524,0.29100000000000004,2018,HKG
