Happiness Rank,Country,Happiness Score,GDP per Capita,Health (Life Expectancy),Freedom,Trust (Government Corruption),Year
1,Finland,7.769,1.34,0.986,0.596,0.393,2019
2,Denmark,7.6,1.383,0.996,0.592,0.41,2019
3,Norway,7.554,1.488,1.028,0.603,0.341,2019
4,Iceland,7.494,1.38,1.026,0.591,0.118,2019
5,Netherlands,7.488,1.396,0.999,0.557,0.298,2019
6,Switzerland,7.48,1.452,1.052,0.572,0.343,2019
7,Sweden,7.343,1.387,1.009,0.574,0.373,2019
8,New Zealand,7.307,1.303,1.026,0.585,0.38,2019
9,Canada,7.278,1.365,1.039,0.584,0.308,2019
10,Austria,7.246,1.376,1.016,0.532,0.226,2019
11,Australia,7.228,1.372,1.036,0.557,0.29,2019
12,Costa Rica,7.167,1.034,0.963,0.558,0.093,2019
13,Israel,7.139,1.276,1.029,0.371,0.082,2019
14,Luxembourg,7.09,1.609,1.012,0.526,0.316,2019
15,United Kingdom,7.054,1.333,0.996,0.45,0.278,2019
16,Ireland,7.021,1.499,0.999,0.516,0.31,2019
17,Germany,6.985,1.373,0.987,0.495,0.265,2019
18,Belgium,6.923,1.356,0.986,0.473,0.21,2019
19,United States,6.892,1.433,0.874,0.454,0.128,2019
20,Czech Republic,6.852,1.269,0.92,0.457,0.036,2019
21,United Arab Emirates,6.825,1.503,0.825,0.598,0.182,2019
22,Malta,6.726,1.3,0.999,0.564,0.151,2019
23,Mexico,6.595,1.07,0.861,0.433,0.073,2019
24,France,6.592,1.324,1.045,0.436,0.183,2019
25,Taiwan,6.446,1.368,0.914,0.351,0.097,2019
26,Chile,6.444,1.159,0.92,0.357,0.056,2019
27,Guatemala,6.436,0.8,0.746,0.535,0.078,2019
28,Saudi Arabia,6.375,1.403,0.795,0.439,0.132,2019
29,Qatar,6.374,1.684,0.871,0.555,0.167,2019
30,Spain,6.354,1.286,1.062,0.362,0.079,2019
31,Panama,6.321,1.149,0.91,0.516,0.054,2019
32,Brazil,6.3,1.004,0.802,0.39,0.086,2019
33,Uruguay,6.293,1.124,0.891,0.523,0.15,2019
34,Singapore,6.262,1.572,1.141,0.556,0.453,2019
35,El Salvador,6.253,0.794,0.789,0.43,0.074,2019
36,Italy,6.223,1.294,1.039,0.231,0.03,2019
37,Bahrain,6.199,1.362,0.871,0.536,0.11,2019
38,Slovakia,6.198,1.246,0.881,0.334,0.014,2019
39,Trinidad &amp; Tobago,6.192,1.231,0.713,0.489,0.016,2019
40,Poland,6.182,1.206,0.884,0.483,0.05,2019
41,Uzbekistan,6.174,0.745,0.756,0.631,0.24,2019
42,Lithuania,6.149,1.238,0.818,0.291,0.042,2019
43,Colombia,6.125,0.985,0.841,0.47,0.034,2019
44,Slovenia,6.118,1.258,0.953,0.564,0.057,2019
45,Nicaragua,6.105,0.694,0.835,0.435,0.127,2019
